elevation,geology,landuse,rainfall,slope,soil_clay,.geo
2233,4,10,5.143680095672607,53.40160369873047,27,"{""type"":""Point"",""coordinates"":[85.18871768248653,27.64191451802152]}"
1626,3,10,5.165729999542236,27.98247337341309,23,"{""type"":""Point"",""coordinates"":[85.51551228074993,27.895741046033915]}"
1452,2,40,3.569990634918213,1.046480655670166,26,"{""type"":""Point"",""coordinates"":[85.52946814083352,27.600764495733713]}"
1232,1,10,4.66023588180542,43.763484954833984,23,"{""type"":""Point"",""coordinates"":[85.22694301371922,27.76261123211303]}"
1144,1,10,2.6722123622894287,27.44268035888672,24,"{""type"":""Point"",""coordinates"":[85.58707305332555,27.637371557752484]}"
1665,4,10,3.968759536743164,20.061687469482425,27,"{""type"":""Point"",""coordinates"":[85.40362626130374,27.632632147999644]}"
580,1,40,4.045770645141602,1.400288462638855,26,"{""type"":""Point"",""coordinates"":[85.23346883059966,27.897629012694875]}"
1785,4,10,4.796142101287842,10.895977020263672,23,"{""type"":""Point"",""coordinates"":[85.12853108674472,27.693281844119614]}"
1986,4,30,4.29292631149292,20.677648544311523,27,"{""type"":""Point"",""coordinates"":[85.26950835222887,27.81089341659684]}"
1476,2,40,3.569990634918213,10.394573211669922,24,"{""type"":""Point"",""coordinates"":[85.52664784704767,27.633969343122093]}"
1863,4,30,4.579485893249512,11.685636520385742,25,"{""type"":""Point"",""coordinates"":[85.18722483506787,27.663197618168063]}"
1335,1,40,5.316385269165039,11.412931442260742,26,"{""type"":""Point"",""coordinates"":[85.57506164317624,27.859271636584467]}"
1376,2,40,4.618951320648193,1.854334115982056,23,"{""type"":""Point"",""coordinates"":[85.34912740764537,27.767373489598054]}"
1423,2,10,4.1896796226501465,6.464860916137695,22,"{""type"":""Point"",""coordinates"":[85.22723999531989,27.69075801621715]}"
1333,1,50,3.40421199798584,1.0472033023834229,23,"{""type"":""Point"",""coordinates"":[85.31318906616094,27.67623566710849]}"
1926,4,10,4.612148761749268,35.94655227661133,23,"{""type"":""Point"",""coordinates"":[85.37566953524716,27.79963856555452]}"
1223,1,10,4.532809257507324,23.07354164123535,21,"{""type"":""Point"",""coordinates"":[85.34597286726486,27.836550288928635]}"
1065,1,10,4.547289371490479,32.94626235961914,26,"{""type"":""Point"",""coordinates"":[85.54425539302014,27.798811770999475]}"
1625,3,10,4.618951320648193,31.844402313232425,24,"{""type"":""Point"",""coordinates"":[85.3084824589333,27.794065354313165]}"
1418,2,10,4.693136215209961,26.663745880126957,25,"{""type"":""Point"",""coordinates"":[85.41803583474068,27.89762440886333]}"
1715,4,10,3.968759536743164,43.08881378173828,23,"{""type"":""Point"",""coordinates"":[85.44503651555935,27.63780326897961]}"
1720,4,10,4.246232509613037,35.337928771972656,29,"{""type"":""Point"",""coordinates"":[85.20393773063489,27.80531699018403]}"
1371,2,10,5.058280944824219,37.85634613037109,27,"{""type"":""Point"",""coordinates"":[85.53378400171758,27.81531267820649]}"
1303,1,50,3.977576494216919,3.644006967544556,30,"{""type"":""Point"",""coordinates"":[85.36674852933037,27.686310149273535]}"
1902,4,10,3.9062464237213135,8.848341941833496,27,"{""type"":""Point"",""coordinates"":[85.50632293699466,27.69698740084361]}"
1365,2,10,5.316385269165039,22.340118408203125,23,"{""type"":""Point"",""coordinates"":[85.59218888517147,27.88089025853232]}"
1965,4,10,4.1896796226501465,8.353174209594727,21,"{""type"":""Point"",""coordinates"":[85.20093448770533,27.676269021374097]}"
